Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
141,Marília Mendonça,"6,90,90,01,088","1,54,92,17,519",122,0,23,20.09.22
142,Zara Larsson,"6,87,85,81,725","51,05,65,925",85,2,13,13.09.22
143,Bebe Rexha,"6,83,64,53,644","3,95,42,04,862",113,2,14,13.09.22
144,Anitta,"6,80,17,33,116","1,40,73,62,033",175,0,20,02.09.22
145,Enrique Iglesias,"6,76,42,28,183","34,06,75,073",282,0,13,18.09.22
146,Fleetwood Mac,"6,75,31,61,276","5,63,244",768,1,11,13.09.22
147,The Rolling Stones,"6,72,74,27,341","67,84,031","1,073",0,14,17.09.22
148,The Neighbourhood,"6,71,86,87,991","11,83,878",90,1,12,12.08.22
149,Pink Floyd,"6,71,47,80,376",0,436,0,13,16.09.22
150,Britney Spears,"6,67,14,86,096","68,94,81,019",292,0,19,19.09.22
151,Michael Bublé,"6,66,75,59,320","31,38,76,033",239,0,18,12.09.22
152,The Kid LAROI,"6,64,77,34,218","84,78,71,845",49,1,16,16.09.22
153,Guns N' Roses,"6,61,54,11,211","55,151",139,1,10,19.09.22
154,Flo Rida,"6,55,50,92,666","1,78,64,18,102",229,0,11,31.07.22
155,Camilo,"6,51,97,84,854","88,78,78,975",49,0,20,13.09.22
156,Ty Dolla $ign,"6,50,36,53,017","10,64,78,43,904",191,0,14,03.09.22
157,Kid Cudi,"6,48,88,63,340","1,50,57,42,485",160,0,12,08.09.22
158,Disney,"6,48,08,40,953","81,94,35,187",529,0,14,31.07.22
159,Becky G,"6,43,44,04,802","1,30,21,87,576",110,0,16,19.09.22
160,Jonas Blue,"6,42,20,49,491","11,13,88,929",165,0,9,31.07.22
161,Russ,"6,40,94,48,257","12,04,35,639",368,0,14,31.08.22
162,Luis Fonsi,"6,38,85,25,172","44,42,09,070",187,2,10,11.08.22
163,2Pac,"6,32,81,73,362","34,50,66,838",316,0,16,06.09.22
164,Reik,"6,32,78,03,667","33,01,77,113",172,0,16,31.07.22
165,50 Cent,"6,24,88,46,278","2,75,85,73,236",185,0,14,16.09.22
166,Childish Gambino,"6,24,77,35,359","60,44,15,192",86,1,13,18.08.22
167,Gorillaz,"6,24,34,17,623","13,29,013",283,0,11,17.09.22
